request_id,user_id,exp_count,click_count,conv_count,recent_clicks,avg_click_interval,last_click_gap,click_freq_last_hour
req000482,u1053,1,1,0,0,-1.0,-1.0,0
req008495,u1053,2,1,0,1,8013.0,8013.0,0
req000829,u1054,1,0,0,0,-1.0,-1.0,0
req003670,u1054,2,0,0,0,-1.0,-1.0,0
req004922,u1054,3,0,0,0,-1.0,-1.0,0
req000204,u1057,1,0,0,0,-1.0,-1.0,0
req001823,u1057,2,0,0,0,-1.0,-1.0,0
req005775,u1057,3,0,0,0,-1.0,-1.0,0
req002126,u1058,1,0,0,0,-1.0,-1.0,0
req004238,u1058,2,0,0,0,-1.0,-1.0,0
req009713,u1060,1,0,0,0,-1.0,-1.0,0
req001366,u1061,1,0,0,0,-1.0,-1.0,0
req003457,u1061,2,0,0,0,-1.0,-1.0,0
req009691,u1061,3,0,0,0,-1.0,-1.0,0
req005332,u1062,1,0,0,0,-1.0,-1.0,0
req003884,u1065,1,0,0,0,-1.0,-1.0,0
req002812,u1067,1,0,0,0,-1.0,-1.0,0
req002836,u1067,2,0,0,0,-1.0,-1.0,0
req003905,u1073,1,0,0,0,-1.0,-1.0,0
req008234,u1073,2,0,0,0,-1.0,-1.0,0
req001373,u1074,1,1,1,0,-1.0,-1.0,0
req003152,u1074,2,1,1,1,1779.0,1779.0,1
req004934,u1074,3,1,1,1,3561.0,3561.0,1
req006851,u1074,4,1,1,1,5478.0,5478.0,0
req008867,u1074,5,1,1,1,7494.0,7494.0,0
req009320,u1074,6,1,1,1,7947.0,7947.0,0
req009961,u1077,1,0,0,0,-1.0,-1.0,0
req008203,u1078,1,0,0,0,-1.0,-1.0,0
req000438,u1081,1,0,0,0,-1.0,-1.0,0
req007907,u1085,1,0,0,0,-1.0,-1.0,0
req005958,u1086,1,1,0,0,-1.0,-1.0,0
req006489,u1086,2,1,0,1,531.0,531.0,1
req009180,u1086,3,1,0,1,3222.0,3222.0,1
req003448,u1087,1,0,0,0,-1.0,-1.0,0
req004411,u1088,1,0,0,0,-1.0,-1.0,0
req001405,u1089,1,0,0,0,-1.0,-1.0,0
req001487,u1090,1,0,0,0,-1.0,-1.0,0
req004292,u1093,1,0,0,0,-1.0,-1.0,0
req004631,u1093,2,0,0,0,-1.0,-1.0,0
req004381,u1096,1,0,0,0,-1.0,-1.0,0
req002141,u1099,1,0,0,0,-1.0,-1.0,0
req003070,u1099,2,0,0,0,-1.0,-1.0,0
req005248,u1099,3,0,0,0,-1.0,-1.0,0
req004935,u1100,1,0,0,0,-1.0,-1.0,0
req000916,u1101,1,0,0,0,-1.0,-1.0,0
req001985,u1101,2,1,0,0,-1.0,-1.0,0
req003027,u1102,1,0,0,0,-1.0,-1.0,0
req004606,u1102,2,0,0,0,-1.0,-1.0,0
req009091,u1102,3,0,0,0,-1.0,-1.0,0
req005571,u1104,1,0,0,0,-1.0,-1.0,0
req007826,u1104,2,0,0,0,-1.0,-1.0,0
req000723,u1105,1,0,0,0,-1.0,-1.0,0
req006563,u1105,2,0,0,0,-1.0,-1.0,0
req001185,u1106,1,0,0,0,-1.0,-1.0,0
req007136,u1106,2,0,0,0,-1.0,-1.0,0
req003124,u1107,1,1,0,0,-1.0,-1.0,0
req006778,u1107,2,1,0,1,3654.0,3654.0,0
req002410,u1108,1,0,0,0,-1.0,-1.0,0
req009546,u1108,2,0,0,0,-1.0,-1.0,0
req002469,u1109,1,0,0,0,-1.0,-1.0,0
req007530,u1109,2,0,0,0,-1.0,-1.0,0
req007417,u1110,1,0,0,0,-1.0,-1.0,0
req000518,u1112,1,0,0,0,-1.0,-1.0,0
req005500,u1112,2,0,0,0,-1.0,-1.0,0
req005922,u1112,3,1,0,0,-1.0,-1.0,0
req009134,u1113,1,0,0,0,-1.0,-1.0,0
req004783,u1114,1,0,0,0,-1.0,-1.0,0
req009796,u1114,2,0,0,0,-1.0,-1.0,0
req009782,u1115,1,0,0,0,-1.0,-1.0,0
req006081,u1117,1,0,0,0,-1.0,-1.0,0
req005887,u1118,1,0,0,0,-1.0,-1.0,0
req009604,u1119,1,0,0,0,-1.0,-1.0,0
req001439,u1120,1,0,0,0,-1.0,-1.0,0
req001518,u1120,2,0,0,0,-1.0,-1.0,0
req000139,u1121,1,0,0,0,-1.0,-1.0,0
req008477,u1122,1,1,0,0,-1.0,-1.0,0
req000500,u1124,1,0,0,0,-1.0,-1.0,0
req000621,u1124,2,1,0,0,-1.0,-1.0,0
req000821,u1125,1,0,0,0,-1.0,-1.0,0
req005966,u1125,2,1,0,0,-1.0,-1.0,0
req007067,u1127,1,0,0,0,-1.0,-1.0,0
req003932,u1128,1,0,0,0,-1.0,-1.0,0
req009825,u1128,2,1,1,0,-1.0,-1.0,0
req003579,u1130,1,0,0,0,-1.0,-1.0,0
req006655,u1131,1,1,0,0,-1.0,-1.0,0
req008944,u1131,2,1,0,1,2289.0,2289.0,1
req009861,u1132,1,0,0,0,-1.0,-1.0,0
req004267,u1133,1,0,0,0,-1.0,-1.0,0
req002441,u1135,1,0,0,0,-1.0,-1.0,0
req003262,u1135,2,0,0,0,-1.0,-1.0,0
req007629,u1135,3,0,0,0,-1.0,-1.0,0
req009146,u1136,1,0,0,0,-1.0,-1.0,0
req009485,u1136,2,0,0,0,-1.0,-1.0,0
req001019,u1137,1,1,0,0,-1.0,-1.0,0
req005886,u1138,1,0,0,0,-1.0,-1.0,0
req004893,u1139,1,0,0,0,-1.0,-1.0,0
req009900,u1143,1,0,0,0,-1.0,-1.0,0
req002330,u1144,1,0,0,0,-1.0,-1.0,0
req007233,u1144,2,0,0,0,-1.0,-1.0,0
req007504,u1144,3,0,0,0,-1.0,-1.0,0
req009032,u1144,4,0,0,0,-1.0,-1.0,0
req008098,u1145,1,0,0,0,-1.0,-1.0,0
req002425,u1146,1,0,0,0,-1.0,-1.0,0
req009242,u1146,2,0,0,0,-1.0,-1.0,0
req005894,u1147,1,0,0,0,-1.0,-1.0,0
req008484,u1147,2,0,0,0,-1.0,-1.0,0
req004349,u1148,1,0,0,0,-1.0,-1.0,0
req005127,u1148,2,0,0,0,-1.0,-1.0,0
req007265,u1151,1,1,0,0,-1.0,-1.0,0
req003714,u1152,1,0,0,0,-1.0,-1.0,0
req008318,u1152,2,0,0,0,-1.0,-1.0,0
req000561,u1153,1,0,0,0,-1.0,-1.0,0
req003364,u1153,2,0,0,0,-1.0,-1.0,0
req005451,u1153,3,0,0,0,-1.0,-1.0,0
req007302,u1153,4,0,0,0,-1.0,-1.0,0
req006160,u1154,1,0,0,0,-1.0,-1.0,0
req002083,u1155,1,0,0,0,-1.0,-1.0,0
req008509,u1155,2,0,0,0,-1.0,-1.0,0
req002795,u1156,1,0,0,0,-1.0,-1.0,0
req003662,u1156,2,0,0,0,-1.0,-1.0,0
req006104,u1156,3,0,0,0,-1.0,-1.0,0
req006324,u1156,4,0,0,0,-1.0,-1.0,0
req007435,u1157,1,0,0,0,-1.0,-1.0,0
req007086,u1158,1,0,0,0,-1.0,-1.0,0
req007415,u1158,2,0,0,0,-1.0,-1.0,0
req001773,u1159,1,0,0,0,-1.0,-1.0,0
req005191,u1159,2,0,0,0,-1.0,-1.0,0
req007703,u1159,3,0,0,0,-1.0,-1.0,0
req007995,u1159,4,0,0,0,-1.0,-1.0,0
req004554,u1160,1,0,0,0,-1.0,-1.0,0
req009573,u1162,1,0,0,0,-1.0,-1.0,0
req000350,u1163,1,0,0,0,-1.0,-1.0,0
req008374,u1163,2,0,0,0,-1.0,-1.0,0
req005600,u1164,1,0,0,0,-1.0,-1.0,0
req001506,u1168,1,0,0,0,-1.0,-1.0,0
req002954,u1168,2,0,0,0,-1.0,-1.0,0
req004447,u1170,1,0,0,0,-1.0,-1.0,0
req008561,u1170,2,1,0,0,-1.0,-1.0,0
req000270,u1171,1,0,0,0,-1.0,-1.0,0
req008074,u1171,2,0,0,0,-1.0,-1.0,0
req008637,u1171,3,0,0,0,-1.0,-1.0,0
req008908,u1172,1,0,0,0,-1.0,-1.0,0
req003052,u1174,1,0,0,0,-1.0,-1.0,0
req003529,u1174,2,0,0,0,-1.0,-1.0,0
req000956,u1176,1,0,0,0,-1.0,-1.0,0
req007552,u1176,2,0,0,0,-1.0,-1.0,0
req007938,u1176,3,0,0,0,-1.0,-1.0,0
req008856,u1176,4,0,0,0,-1.0,-1.0,0
req007835,u1178,1,0,0,0,-1.0,-1.0,0
req000516,u1179,1,0,0,0,-1.0,-1.0,0
req007237,u1179,2,0,0,0,-1.0,-1.0,0
req003475,u1181,1,0,0,0,-1.0,-1.0,0
req003833,u1181,2,0,0,0,-1.0,-1.0,0
req008665,u1183,1,0,0,0,-1.0,-1.0,0
req002564,u1184,1,0,0,0,-1.0,-1.0,0
req006393,u1184,2,1,0,0,-1.0,-1.0,0
req007749,u1184,3,1,0,1,1356.0,1356.0,1
req009252,u1185,1,0,0,0,-1.0,-1.0,0
req009717,u1185,2,0,0,0,-1.0,-1.0,0
req001130,u1188,1,0,0,0,-1.0,-1.0,0
req001432,u1188,2,0,0,0,-1.0,-1.0,0
req008573,u1189,1,0,0,0,-1.0,-1.0,0
req000731,u1191,1,0,0,0,-1.0,-1.0,0
req007041,u1192,1,0,0,0,-1.0,-1.0,0
req005721,u1193,1,0,0,0,-1.0,-1.0,0
req009583,u1193,2,0,0,0,-1.0,-1.0,0
req001166,u1194,1,0,0,0,-1.0,-1.0,0
req009853,u1194,2,0,0,0,-1.0,-1.0,0
req001478,u1195,1,0,0,0,-1.0,-1.0,0
req006186,u1195,2,1,0,0,-1.0,-1.0,0
req009626,u1195,3,1,0,1,3440.0,3440.0,1
req009112,u1196,1,0,0,0,-1.0,-1.0,0
req007182,u1197,1,0,0,0,-1.0,-1.0,0
req000347,u1198,1,0,0,0,-1.0,-1.0,0
req006432,u1199,1,0,0,0,-1.0,-1.0,0
req005142,u1201,1,0,0,0,-1.0,-1.0,0
req008763,u1201,2,0,0,0,-1.0,-1.0,0
req007371,u1203,1,0,0,0,-1.0,-1.0,0
req006397,u1204,1,0,0,0,-1.0,-1.0,0
req002075,u1205,1,1,0,0,-1.0,-1.0,0
req004419,u1205,2,2,0,1,2344.0,2344.0,1
req002700,u1206,1,0,0,0,-1.0,-1.0,0
req002943,u1206,2,1,0,0,-1.0,-1.0,0
req005467,u1206,3,1,0,1,2524.0,2524.0,1
req007102,u1206,4,1,0,1,4159.0,4159.0,0
req001874,u1208,1,0,0,0,-1.0,-1.0,0
req006572,u1208,2,0,0,0,-1.0,-1.0,0
req007878,u1208,3,0,0,0,-1.0,-1.0,0
req003044,u1209,1,0,0,0,-1.0,-1.0,0
req002136,u1210,1,0,0,0,-1.0,-1.0,0
req004247,u1210,2,0,0,0,-1.0,-1.0,0
req007487,u1210,3,0,0,0,-1.0,-1.0,0
req009686,u1210,4,0,0,0,-1.0,-1.0,0
req009181,u1211,1,0,0,0,-1.0,-1.0,0
req004329,u1212,1,0,0,0,-1.0,-1.0,0
req007405,u1212,2,0,0,0,-1.0,-1.0,0
req008386,u1213,1,0,0,0,-1.0,-1.0,0
req000459,u1214,1,0,0,0,-1.0,-1.0,0
req004205,u1214,2,0,0,0,-1.0,-1.0,0
req009099,u1214,3,0,0,0,-1.0,-1.0,0
req001399,u1215,1,0,0,0,-1.0,-1.0,0
req001719,u1215,2,0,0,0,-1.0,-1.0,0
req006836,u1215,3,0,0,0,-1.0,-1.0,0
req004698,u1216,1,1,0,0,-1.0,-1.0,0
req009632,u1218,1,0,0,0,-1.0,-1.0,0
req001840,u1219,1,0,0,0,-1.0,-1.0,0
req009537,u1219,2,0,0,0,-1.0,-1.0,0
req002107,u1220,1,0,0,0,-1.0,-1.0,0
req003309,u1221,1,0,0,0,-1.0,-1.0,0
req007046,u1221,2,0,0,0,-1.0,-1.0,0
req001906,u1223,1,0,0,0,-1.0,-1.0,0
req008054,u1226,1,0,0,0,-1.0,-1.0,0
req009357,u1227,1,0,0,0,-1.0,-1.0,0
req001697,u1229,1,0,0,0,-1.0,-1.0,0
req007528,u1229,2,0,0,0,-1.0,-1.0,0
req005364,u1230,1,0,0,0,-1.0,-1.0,0
req009707,u1230,2,0,0,0,-1.0,-1.0,0
req000682,u1231,1,0,0,0,-1.0,-1.0,0
req004655,u1231,2,0,0,0,-1.0,-1.0,0
req001124,u1232,1,0,0,0,-1.0,-1.0,0
req004189,u1232,2,0,0,0,-1.0,-1.0,0
req005576,u1232,3,0,0,0,-1.0,-1.0,0
req009578,u1232,4,0,0,0,-1.0,-1.0,0
req009805,u1234,1,0,0,0,-1.0,-1.0,0
req007281,u1237,1,0,0,0,-1.0,-1.0,0
req002366,u1239,1,0,0,0,-1.0,-1.0,0
req009619,u1240,1,0,0,0,-1.0,-1.0,0
req006710,u1241,1,0,0,0,-1.0,-1.0,0
req004237,u1242,1,0,0,0,-1.0,-1.0,0
req000035,u1243,1,0,0,0,-1.0,-1.0,0
req003492,u1243,2,0,0,0,-1.0,-1.0,0
req009888,u1244,1,0,0,0,-1.0,-1.0,0
req002270,u1245,1,0,0,0,-1.0,-1.0,0
req000289,u1247,1,0,0,0,-1.0,-1.0,0
req006359,u1247,2,0,0,0,-1.0,-1.0,0
req001362,u1255,1,0,0,0,-1.0,-1.0,0
req006584,u1255,2,0,0,0,-1.0,-1.0,0
req003563,u1257,1,0,0,0,-1.0,-1.0,0
req008285,u1257,2,0,0,0,-1.0,-1.0,0
req007968,u1258,1,1,0,0,-1.0,-1.0,0
req000706,u1260,1,0,0,0,-1.0,-1.0,0
req009986,u1262,1,1,0,0,-1.0,-1.0,0
req008364,u1263,1,0,0,0,-1.0,-1.0,0
req008365,u1264,1,0,0,0,-1.0,-1.0,0
req008227,u1265,1,0,0,0,-1.0,-1.0,0
req008447,u1265,2,0,0,0,-1.0,-1.0,0
req004653,u1266,1,0,0,0,-1.0,-1.0,0
req009708,u1266,2,0,0,0,-1.0,-1.0,0
req000231,u1267,1,1,0,0,-1.0,-1.0,0
req001680,u1267,2,1,0,1,1449.0,1449.0,1
req003771,u1267,3,2,0,1,3540.0,3540.0,1
req001392,u1268,1,0,0,0,-1.0,-1.0,0
req004749,u1268,2,0,0,0,-1.0,-1.0,0
req004165,u1270,1,0,0,0,-1.0,-1.0,0
req007498,u1270,2,0,0,0,-1.0,-1.0,0
req008485,u1270,3,0,0,0,-1.0,-1.0,0
req002237,u1271,1,1,0,0,-1.0,-1.0,0
req003198,u1271,2,1,0,1,961.0,961.0,1
req009610,u1271,3,1,0,1,7373.0,7373.0,0
req004405,u1272,1,1,0,0,-1.0,-1.0,0
req001501,u1276,1,0,0,0,-1.0,-1.0,0
req002377,u1276,2,0,0,0,-1.0,-1.0,0
req003002,u1276,3,1,0,0,-1.0,-1.0,0
req002073,u1277,1,0,0,0,-1.0,-1.0,0
req005647,u1277,2,0,0,0,-1.0,-1.0,0
req007561,u1279,1,0,0,0,-1.0,-1.0,0
req004130,u1280,1,0,0,0,-1.0,-1.0,0
req007566,u1280,2,0,0,0,-1.0,-1.0,0
req000890,u1281,1,0,0,0,-1.0,-1.0,0
req008304,u1281,2,0,0,0,-1.0,-1.0,0
req000856,u1283,1,0,0,0,-1.0,-1.0,0
req002295,u1283,2,0,0,0,-1.0,-1.0,0
req004900,u1283,3,0,0,0,-1.0,-1.0,0
req005458,u1283,4,0,0,0,-1.0,-1.0,0
req003183,u1284,1,0,0,0,-1.0,-1.0,0
req001794,u1286,1,0,0,0,-1.0,-1.0,0
req005930,u1289,1,0,0,0,-1.0,-1.0,0
req003055,u1290,1,0,0,0,-1.0,-1.0,0
req004538,u1290,2,0,0,0,-1.0,-1.0,0
req009520,u1290,3,0,0,0,-1.0,-1.0,0
req009395,u1291,1,0,0,0,-1.0,-1.0,0
req000740,u1292,1,0,0,0,-1.0,-1.0,0
req001000,u1292,2,0,0,0,-1.0,-1.0,0
req001717,u1292,3,1,0,0,-1.0,-1.0,0
req002870,u1292,4,2,0,1,1153.0,1153.0,1
req002840,u1294,1,0,0,0,-1.0,-1.0,0
req003890,u1294,2,0,0,0,-1.0,-1.0,0
req004181,u1294,3,0,0,0,-1.0,-1.0,0
req000809,u1297,1,0,0,0,-1.0,-1.0,0
req004742,u1298,1,0,0,0,-1.0,-1.0,0
req005620,u1298,2,1,0,0,-1.0,-1.0,0
req007829,u1298,3,1,0,1,2209.0,2209.0,1
req004774,u1299,1,0,0,0,-1.0,-1.0,0
req001241,u1303,1,0,0,0,-1.0,-1.0,0
req004972,u1303,2,0,0,0,-1.0,-1.0,0
req001144,u1304,1,0,0,0,-1.0,-1.0,0
req002797,u1304,2,0,0,0,-1.0,-1.0,0
req004234,u1307,1,0,0,0,-1.0,-1.0,0
req002292,u1309,1,0,0,0,-1.0,-1.0,0
req004775,u1309,2,0,0,0,-1.0,-1.0,0
req007534,u1309,3,0,0,0,-1.0,-1.0,0
req001664,u1310,1,0,0,0,-1.0,-1.0,0
req007227,u1310,2,0,0,0,-1.0,-1.0,0
req005430,u1311,1,0,0,0,-1.0,-1.0,0
req009061,u1312,1,0,0,0,-1.0,-1.0,0
req007676,u1316,1,1,0,0,-1.0,-1.0,0
req008084,u1316,2,1,0,1,408.0,408.0,1
req006919,u1319,1,0,0,0,-1.0,-1.0,0
req003505,u1320,1,0,0,0,-1.0,-1.0,0
req007470,u1321,1,0,0,0,-1.0,-1.0,0
req008891,u1321,2,0,0,0,-1.0,-1.0,0
req006496,u1322,1,0,0,0,-1.0,-1.0,0
req000248,u1325,1,0,0,0,-1.0,-1.0,0
req002139,u1325,2,0,0,0,-1.0,-1.0,0
req009773,u1325,3,0,0,0,-1.0,-1.0,0
req000578,u1327,1,0,0,0,-1.0,-1.0,0
req006924,u1327,2,0,0,0,-1.0,-1.0,0
req007450,u1327,3,0,0,0,-1.0,-1.0,0
req006659,u1330,1,0,0,0,-1.0,-1.0,0
req001211,u1331,1,0,0,0,-1.0,-1.0,0
req001333,u1331,2,0,0,0,-1.0,-1.0,0
req008488,u1331,3,0,0,0,-1.0,-1.0,0
req000290,u1332,1,0,0,0,-1.0,-1.0,0
req000371,u1332,2,0,0,0,-1.0,-1.0,0
req002569,u1332,3,0,0,0,-1.0,-1.0,0
req003925,u1332,4,0,0,0,-1.0,-1.0,0
req005036,u1333,1,0,0,0,-1.0,-1.0,0
req004954,u1334,1,0,0,0,-1.0,-1.0,0
req006968,u1334,2,0,0,0,-1.0,-1.0,0
req007077,u1334,3,0,0,0,-1.0,-1.0,0
req009564,u1334,4,0,0,0,-1.0,-1.0,0
req007249,u1335,1,0,0,0,-1.0,-1.0,0
req007728,u1338,1,0,0,0,-1.0,-1.0,0
req007536,u1339,1,0,0,0,-1.0,-1.0,0
req004279,u1341,1,0,0,0,-1.0,-1.0,0
req008006,u1341,2,0,0,0,-1.0,-1.0,0
req001752,u1342,1,0,0,0,-1.0,-1.0,0
req003350,u1343,1,0,0,0,-1.0,-1.0,0
req000998,u1344,1,1,0,0,-1.0,-1.0,0
req008355,u1344,2,2,0,1,7357.0,7357.0,0
req003363,u1346,1,0,0,0,-1.0,-1.0,0
req007243,u1349,1,0,0,0,-1.0,-1.0,0
req008324,u1349,2,0,0,0,-1.0,-1.0,0
req005814,u1350,1,1,1,0,-1.0,-1.0,0
req000716,u1351,1,0,0,0,-1.0,-1.0,0
req004259,u1351,2,0,0,0,-1.0,-1.0,0
req008214,u1351,3,0,0,0,-1.0,-1.0,0
req002303,u1352,1,0,0,0,-1.0,-1.0,0
req003134,u1352,2,0,0,0,-1.0,-1.0,0
req003605,u1352,3,0,0,0,-1.0,-1.0,0
req006703,u1352,4,0,0,0,-1.0,-1.0,0
req006749,u1352,5,0,0,0,-1.0,-1.0,0
req001611,u1353,1,0,0,0,-1.0,-1.0,0
req000907,u1354,1,0,0,0,-1.0,-1.0,0
req005593,u1354,2,0,0,0,-1.0,-1.0,0
req001667,u1356,1,0,0,0,-1.0,-1.0,0
req003129,u1356,2,0,0,0,-1.0,-1.0,0
req004659,u1357,1,1,0,0,-1.0,-1.0,0
req004829,u1358,1,0,0,0,-1.0,-1.0,0
req008108,u1358,2,0,0,0,-1.0,-1.0,0
req009667,u1359,1,0,0,0,-1.0,-1.0,0
req000365,u1360,1,0,0,0,-1.0,-1.0,0
req007454,u1360,2,0,0,0,-1.0,-1.0,0
req003008,u1361,1,0,0,0,-1.0,-1.0,0
req005350,u1363,1,0,0,0,-1.0,-1.0,0
req007429,u1363,2,1,0,0,-1.0,-1.0,0
req007859,u1363,3,1,0,1,430.0,430.0,1
req003694,u1364,1,1,0,0,-1.0,-1.0,0
req007765,u1365,1,0,0,0,-1.0,-1.0,0
req005628,u1366,1,0,0,0,-1.0,-1.0,0
req001423,u1368,1,0,0,0,-1.0,-1.0,0
req006550,u1369,1,0,0,0,-1.0,-1.0,0
req000133,u1370,1,0,0,0,-1.0,-1.0,0
req005640,u1370,2,0,0,0,-1.0,-1.0,0
req008266,u1370,3,0,0,0,-1.0,-1.0,0
req006765,u1373,1,0,0,0,-1.0,-1.0,0
req007756,u1374,1,0,0,0,-1.0,-1.0,0
req001139,u1375,1,0,0,0,-1.0,-1.0,0
req003032,u1376,1,0,0,0,-1.0,-1.0,0
req004983,u1376,2,0,0,0,-1.0,-1.0,0
req008465,u1376,3,0,0,0,-1.0,-1.0,0
req008492,u1376,4,0,0,0,-1.0,-1.0,0
req007390,u1378,1,0,0,0,-1.0,-1.0,0
req001827,u1380,1,0,0,0,-1.0,-1.0,0
req003239,u1380,2,0,0,0,-1.0,-1.0,0
req002168,u1381,1,0,0,0,-1.0,-1.0,0
req007854,u1381,2,0,0,0,-1.0,-1.0,0
req000925,u1382,1,0,0,0,-1.0,-1.0,0
req003422,u1382,2,0,0,0,-1.0,-1.0,0
req005557,u1382,3,0,0,0,-1.0,-1.0,0
req009970,u1382,4,0,0,0,-1.0,-1.0,0
req003332,u1383,1,0,0,0,-1.0,-1.0,0
req009192,u1384,1,0,0,0,-1.0,-1.0,0
req006091,u1385,1,0,0,0,-1.0,-1.0,0
req000123,u1386,1,0,0,0,-1.0,-1.0,0
req007847,u1386,2,0,0,0,-1.0,-1.0,0
req004145,u1387,1,0,0,0,-1.0,-1.0,0
req008191,u1390,1,0,0,0,-1.0,-1.0,0
req002679,u1391,1,0,0,0,-1.0,-1.0,0
req003949,u1391,2,0,0,0,-1.0,-1.0,0
req009768,u1391,3,0,0,0,-1.0,-1.0,0
req009665,u1393,1,0,0,0,-1.0,-1.0,0
req007704,u1395,1,0,0,0,-1.0,-1.0,0
req007651,u1396,1,0,0,0,-1.0,-1.0,0
req007971,u1399,1,0,0,0,-1.0,-1.0,0
req009527,u1399,2,0,0,0,-1.0,-1.0,0
req006808,u1401,1,0,0,0,-1.0,-1.0,0
req003937,u1402,1,0,0,0,-1.0,-1.0,0
req007779,u1404,1,0,0,0,-1.0,-1.0,0
req000688,u1406,1,0,0,0,-1.0,-1.0,0
req006779,u1406,2,0,0,0,-1.0,-1.0,0
req008871,u1407,1,0,0,0,-1.0,-1.0,0
req005016,u1408,1,0,0,0,-1.0,-1.0,0
req008938,u1409,1,0,0,0,-1.0,-1.0,0
req004693,u1410,1,0,0,0,-1.0,-1.0,0
req008032,u1411,1,0,0,0,-1.0,-1.0,0
req005943,u1412,1,0,0,0,-1.0,-1.0,0
req009342,u1412,2,0,0,0,-1.0,-1.0,0
req006863,u1413,1,1,0,0,-1.0,-1.0,0
req004027,u1414,1,0,0,0,-1.0,-1.0,0
req005815,u1414,2,0,0,0,-1.0,-1.0,0
req009174,u1415,1,0,0,0,-1.0,-1.0,0
req001559,u1417,1,0,0,0,-1.0,-1.0,0
req007418,u1417,2,0,0,0,-1.0,-1.0,0
req003473,u1418,1,0,0,0,-1.0,-1.0,0
req009488,u1418,2,0,0,0,-1.0,-1.0,0
req001636,u1419,1,0,0,0,-1.0,-1.0,0
req001992,u1420,1,0,0,0,-1.0,-1.0,0
req003037,u1420,2,0,0,0,-1.0,-1.0,0
req002065,u1422,1,0,0,0,-1.0,-1.0,0
req006033,u1422,2,0,0,0,-1.0,-1.0,0
req001312,u1423,1,0,0,0,-1.0,-1.0,0
req007157,u1423,2,1,0,0,-1.0,-1.0,0
req009974,u1423,3,1,0,1,2817.0,2817.0,1
req003452,u1425,1,0,0,0,-1.0,-1.0,0
req007533,u1425,2,0,0,0,-1.0,-1.0,0
req009703,u1426,1,0,0,0,-1.0,-1.0,0
req000719,u1428,1,0,0,0,-1.0,-1.0,0
req004299,u1428,2,0,0,0,-1.0,-1.0,0
req009230,u1428,3,0,0,0,-1.0,-1.0,0
req003462,u1430,1,0,0,0,-1.0,-1.0,0
req005097,u1430,2,0,0,0,-1.0,-1.0,0
req002362,u1431,1,0,0,0,-1.0,-1.0,0
req005388,u1431,2,0,0,0,-1.0,-1.0,0
req007322,u1432,1,0,0,0,-1.0,-1.0,0
req009766,u1432,2,0,0,0,-1.0,-1.0,0
req000016,u1434,1,0,0,0,-1.0,-1.0,0
req004055,u1435,1,0,0,0,-1.0,-1.0,0
req004438,u1437,1,1,0,0,-1.0,-1.0,0
req006841,u1437,2,1,0,1,2403.0,2403.0,1
req003478,u1439,1,0,0,0,-1.0,-1.0,0
req000416,u1440,1,0,0,0,-1.0,-1.0,0
req002923,u1440,2,0,0,0,-1.0,-1.0,0
req004605,u1440,3,0,0,0,-1.0,-1.0,0
req007474,u1441,1,0,0,0,-1.0,-1.0,0
req008317,u1442,1,0,0,0,-1.0,-1.0,0
req000790,u1443,1,0,0,0,-1.0,-1.0,0
req007558,u1443,2,0,0,0,-1.0,-1.0,0
